"Team","total_wins","total_losses","win_pct","total_pts","total_opp_pts","avg_fgpct","avg_opp_fgpct","total_rebounds","total_turnovers","total_assists"
"Nevada",204,112,0.645569620253165,24704,22985,0.448572727272727,0.423015151515152,11021,3681,4714
"Nevada-Las Vegas",161,138,0.538461538461538,23279,22468,0.441626959247649,0.427805642633229,10665,3801,4347
"New Hampshire",130,155,0.456140350877193,20229,20306,0.414518518518519,0.434579124579125,9926,3338,3473
"New Mexico",173,133,0.565359477124183,24098,23014,0.451157232704402,0.439081761006289,10492,3875,4416
"New Mexico State",179,89,0.667910447761194,20199,18287,0.447578181818182,0.410785454545455,9909,3341,3663
"New Orleans",120,169,0.41522491349481,22343,23083,0.447667752442997,0.45842996742671,9713,4500,4182
"Niagara",118,171,0.408304498269896,21223,22011,0.432947194719472,0.450237623762376,9433,3531,3573
"Nicholls State",156,143,0.521739130434783,23125,22999,0.444090032154341,0.438479099678457,9924,4183,4081
"Norfolk State",187,124,0.60128617363344,23983,22634,0.450687116564417,0.41130981595092,10786,4238,4137
"North Alabama",85,93,0.47752808988764,13628,13438,0.429,0.437075268817204,6230,2013,2069
"North Carolina",229,84,0.731629392971246,25945,22963,0.460196875,0.42360625,12182,3663,5163
"North Carolina A&T",101,194,0.342372881355932,21232,22862,0.421910256410256,0.442955128205128,9632,3866,3710
"North Carolina Central",166,127,0.566552901023891,22289,20511,0.455852459016393,0.42287868852459,9957,4056,4309
"North Carolina State",14,10,0.583333333333333,1820,1742,0.4704,0.45216,739,311,326
"North Carolina-Asheville",23,24,0.48936170212766,3710,3639,0.456588235294118,0.435137254901961,1617,721,677
"North Carolina-Greensboro",31,29,0.516666666666667,4479,4357,0.431825396825397,0.433952380952381,2099,720,770
"North Carolina-Wilmington",22,23,0.488888888888889,3536,3453,0.440897959183673,0.442591836734694,1565,571,574
"North Dakota",119,173,0.407534246575342,23034,23507,0.445429487179487,0.465278846153846,9884,3707,3937
"North Dakota State",158,117,0.574545454545455,21031,20193,0.460108771929825,0.439284210526316,9292,3122,3383
"North Florida",126,150,0.456521739130435,21890,22257,0.450367491166078,0.458035335689046,9088,3730,4030
"North Texas",184,131,0.584126984126984,22665,21413,0.444326219512195,0.420746951219512,10491,3850,3781
"Northeastern",126,130,0.4921875,19339,19379,0.454218181818182,0.454083636363636,8384,3390,3715
"Northern Arizona",104,196,0.346666666666667,22142,23832,0.421446540880503,0.465455974842767,10051,3855,4034
"Northern Colorado",162,136,0.543624161073825,24003,23395,0.469289808917197,0.459592356687898,9983,3773,4005
"Northern Illinois",115,175,0.396551724137931,21448,22155,0.437508196721311,0.443183606557377,9612,3827,3430
"Northern Iowa",143,130,0.523809523809524,19649,19155,0.443982456140351,0.439108771929825,8502,3035,3364
"Northern Kentucky",176,127,0.580858085808581,23231,22107,0.451657232704403,0.435707547169811,10271,3823,4525
"Northwestern",163,136,0.545150501672241,22191,21175,0.432292452830189,0.423707547169811,9847,3168,4679
"Northwestern State",119,179,0.399328859060403,22302,23730,0.437591503267974,0.459754901960784,9691,4203,4002
"Notre Dame",152,137,0.525951557093426,21318,20682,0.444810810810811,0.43689527027027,9492,2853,3904
"Oakland",174,136,0.561290322580645,25406,24820,0.448382530120482,0.44714156626506,10745,3894,4988
"Ohio",170,131,0.564784053156146,23658,22665,0.453375,0.436980769230769,10092,3615,4306
"Ohio State",171,113,0.602112676056338,22117,20710,0.459324414715719,0.422133779264214,9925,3343,3941
"Oklahoma",160,113,0.586080586080586,21734,20656,0.456562068965517,0.430641379310345,9438,3590,3862
"Oklahoma State",140,138,0.503597122302158,21525,21181,0.437935810810811,0.429807432432432,9716,3861,3901
"Old Dominion",185,127,0.592948717948718,21873,21017,0.426829721362229,0.413687306501548,11128,3444,4015
"Omaha",126,172,0.422818791946309,23647,24520,0.452585209003215,0.464697749196141,9806,3717,3811
"Oral Roberts",142,159,0.471760797342193,23883,23646,0.449070063694267,NA,10197,3490,3961
"Oregon",214,92,0.699346405228758,23817,21673,0.461753943217666,0.425694006309148,10271,3522,4421
"Oregon State",137,169,0.447712418300654,21872,22129,0.444207547169811,0.435559748427673,9613,3822,4130
"Pacific",99,188,0.344947735191638,20668,22124,0.428453642384106,NA,9231,3598,3679
"Penn State",161,143,0.529605263157895,23121,22543,0.436308641975309,0.43429012345679,10307,3607,4131
"Pennsylvania",120,124,0.491803278688525,18524,18642,0.446498084291188,0.43748275862069,8342,3155,3669
"Pepperdine",120,185,0.39344262295082,23003,23906,0.445485893416928,0.458902821316614,9980,3861,4605
"Pittsburgh",155,153,0.503246753246753,22566,22161,0.436451410658307,0.436639498432602,10311,3582,4416
"Portland",115,184,0.384615384615385,22395,23791,0.434252396166134,0.449249201277955,9521,3862,4119
"Portland State",143,145,0.496527777777778,23161,22507,0.44371523178808,0.459288079470199,9757,3679,4230
"Prairie View",122,177,0.408026755852843,21487,22604,0.425652597402597,0.459636363636364,9062,4020,3660
"Presbyterian",106,195,0.352159468438538,21368,22228,0.437619808306709,0.457380191693291,9422,3836,3825
"Princeton",167,79,0.678861788617886,19598,17998,0.454503787878788,0.438761363636364,8407,2784,3646
"Providence",160,110,0.592592592592593,21115,20327,0.440175257731959,0.434659793814433,9598,3381,4099
"Purdue",231,66,0.777777777777778,24277,20946,0.475608974358974,0.420560897435897,10846,3463,5134
"Purdue Fort Wayne",116,76,0.604166666666667,16483,15243,0.472258706467662,0.455875621890547,6389,2286,3021
"Purdue-Fort Wayne",57,53,0.518181818181818,8579,8278,0.466632478632479,0.451435897435897,3497,1537,1638
"Queens (NC)",52,49,0.514851485148515,7892,7767,0.446712871287129,0.458594059405941,3413,1185,1450
"Quinnipiac",137,147,0.482394366197183,22005,22084,0.4198125,0.430726973684211,10745,3977,4071
"Radford",166,135,0.551495016611296,22666,22086,0.446009259259259,0.440373456790123,10494,3852,3945
"Rhode Island",161,138,0.538461538461538,22421,21535,0.446622222222222,0.426606349206349,10379,3851,4092
"Rice",128,171,0.42809364548495,23386,23800,0.44092789968652,0.45064263322884,10500,4162,4397
"Richmond",161,142,0.531353135313531,22708,22231,0.459523510971787,0.444551724137931,9246,3154,4605
"Rider",145,151,0.489864864864865,22026,22148,0.439729032258065,0.434525806451613,10420,3761,4033
"Robert Morris",118,152,0.437037037037037,19828,20241,0.433271126760563,0.447598591549296,8974,3843,3771
